site,veg_type,exp,location,plot_Id,unique_plotID,DNA_sample.id,unique_sampID,treatment,myc_assoc,isolate,mel_status,incub_period.days,incub_period.wks,incub_period.years,Notes
moores creek,Forest,MC_forest,EM_4,4,6,41,MCFor_412,EM_tree,EM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_4,4,6,42,MCFor_417,EM_tree,EM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_4,4,5,43,MCFor_413,AM_tree,AM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_4,4,5,44,MCFor_418,AM_tree,AM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_4,4,5,45,MCFor_416,AM_tree,AM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_4,4,5,46,MCFor_421,AM_tree,AM,Mel_Black,melanized ,31,4.428571429,0.084931507,mass not recovered
moores creek,Forest,MC_forest,AM_4,4,5,47,MCFor_411,AM_tree,AM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_4,4,5,48,MCFor_410,AM_tree,AM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_5,5,8,49,MCFor_423,EM_tree,EM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,EM_5,5,8,50,MCFor_431,EM_tree,EM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,EM_5,5,8,51,MCFor_428,EM_tree,EM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,EM_5,5,8,52,MCFor_433,EM_tree,EM,Mel_Black,melanized ,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,EM_5,5,8,53,MCFor_426,EM_tree,EM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_5,5,8,54,MCFor_424,EM_tree,EM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_5,5,7,55,MCFor_427,AM_tree,AM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_5,5,7,56,MCFor_430,AM_tree,AM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_5,5,7,57,MCFor_429,AM_tree,AM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_5,5,7,58,MCFor_432,AM_tree,AM,Mel_Black,melanized ,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_5,5,7,59,MCFor_425,AM_tree,AM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_5,5,7,60,MCFor_422,AM_tree,AM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_6,6,10,61,MCFor_437,EM_tree,EM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,EM_6,6,10,62,MCFor_443,EM_tree,EM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,EM_6,6,10,63,MCFor_442,EM_tree,EM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,EM_6,6,10,64,MCFor_445,EM_tree,EM,Mel_Black,melanized ,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,EM_6,6,10,65,MCFor_438,EM_tree,EM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_6,6,10,66,MCFor_440,EM_tree,EM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_6,6,9,67,MCFor_434,AM_tree,AM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_6,6,9,68,MCFor_441,AM_tree,AM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_6,6,9,69,MCFor_439,AM_tree,AM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_6,6,9,70,MCFor_444,AM_tree,AM,Mel_Black,melanized ,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_6,6,9,71,MCFor_436,AM_tree,AM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_6,6,9,72,MCFor_435,AM_tree,AM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_7,7,12,73,MCFor_449,EM_tree,EM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,EM_7,7,12,74,MCFor_454,EM_tree,EM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,EM_7,7,12,75,MCFor_447,EM_tree,EM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,EM_7,7,12,76,MCFor_456,EM_tree,EM,Mel_Black,melanized ,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,EM_7,7,12,77,MCFor_453,EM_tree,EM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,EM_7,7,12,78,MCFor_451,EM_tree,EM,Mel_Black,melanized ,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_7,7,11,79,MCFor_448,AM_tree,AM,Mort,non-melanized,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_7,7,11,80,MCFor_457,AM_tree,AM,Mel_Black,melanized ,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_7,7,11,81,MCFor_450,AM_tree,AM,Mort,non-melanized,31,4.428571429,0.084931507,
moores creek,Forest,MC_forest,AM_7,7,11,82,MCFor_455,AM_tree,AM,Mel_Black,melanized ,14,2,0.038356164,
moores creek,Forest,MC_forest,AM_7,7,11,83,MCFor_446,AM_tree,AM,Mort,non-melanized,92,13.14285714,0.252054795,
moores creek,Forest,MC_forest,AM_7,7,11,84,MCFor_452,AM_tree,AM,Mel_Black,melanized ,92,13.14285714,0.252054795,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_1,15,176,CCSav_312,EM_tree,EM,Mel_Black,melanized ,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_1,15,177,CCSav_303,forest_grassland,mixed,Mel_Black,melanized ,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_1,15,178,CCSav_313,AM_grass,AM,Mel_Black,melanized ,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_2,16,179,CCSav_348,EM_tree,EM,Mel_Black,melanized ,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_2,16,180,CCSav_347,forest_grassland,mixed,Mel_Black,melanized ,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_20m,Oak_2,16,181,CCSav_349,AM_grass,AM,Mel_Black,melanized ,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_-10m,Oak_3,17,182,CCSav_384,EM_tree,EM,Mel_Black,melanized ,14,2,0.038356164,
cedar creek,Oak Savanna,CC_savanna,transect_5m,Oak_3,17,183,CCSav_383,forest_grassland,mixed,Mel_Black,melanized ,14,2,0.038356164,
